_id,Lat,Long,OWNER,TOTAL_VALUE,YR_BUILT,OVERALL_COND,Evict_rate,Code_violation_count,Likelihood_of_purchase,Landlord_score,Top_10_owner,DATA_YR
4180,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,757600,1910,A - Average,0,0,0,0,1,2024
5204,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1139800,1905,A - Average,0,0,0,0,1,2024
8887,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,621000,1880,A - Average,0,0,0,0,1,2024
8995,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,714600,1910,A - Average,0,0,0,0,1,2024
38592,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,90000,1920,G - Good,0,0,0,0,1,2024
38593,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,90000,1920,G - Good,0,0,0,0,1,2024
39258,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,947300,1900,A - Average,0,0,0,0,1,2024
39259,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1030600,1900,A - Average,0,0,0,0,1,2024
39260,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,475600,1900,A - Average,0,0,0,0,1,2024
39262,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,947300,1900,A - Average,0,0,0,0,1,2024
39263,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,512800,1900,A - Average,0,0,0,0,1,2024
39264,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,577000,1900,A - Average,0,0,0,0,1,2024
39265,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,513600,1900,A - Average,0,0,0,0,1,2024
39266,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,647900,1900,A - Average,0,0,0,0,1,2024
39647,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,47600,1942,A - Average,0,0,0,0,1,2024
39648,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,47600,1942,A - Average,0,0,0,0,1,2024
39649,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,47600,1942,A - Average,0,0,0,0,1,2024
39670,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,47600,1942,A - Average,0,0,0,0,1,2024
39671,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,47600,1942,A - Average,0,0,0,0,1,2024
39672,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,47600,1942,A - Average,0,0,0,0,1,2024
39684,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,47600,1942,A - Average,0,0,0,0,1,2024
39685,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,47600,1942,A - Average,0,0,0,0,1,2024
39960,42.3455313,-71.0897152,REAL ESTATE BOSTON LLC,846100,1920,A - Average,0,0,0,0,1,2024
60992,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,654200,1900,G - Good,0,0,0,0,1,2024
69318,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1195500,1890,A - Average,0,0,0,0,1,2024
72656,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1666400,1890,F - Fair,0,0,0,0,1,2024
73954,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1805900,1905,A - Average,0,0,0,0,1,2024
74611,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,494500,1900,A - Average,0,0,0,0,1,2024
74617,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,627600,1986,A - Average,0,0,0,0,1,2024
74618,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1261400,1920,A - Average,0,0,0,0,1,2024
74619,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,733700,1905,F - Fair,0,0,0,0,1,2024
74620,42.3223377,-71.0561521,REAL ESTATE BOSTON LLC,1063100,1920,A - Average,0,0,0,0,1,2024
74621,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1079200,1920,A - Average,0,0,0,0,1,2024
74622,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1133800,1905,A - Average,0,0,0,0,1,2024
74780,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1240300,1905,A - Average,0,0,0,0,1,2024
